time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.10298202415e-06,4.04299027756e-06,10.007562261,0.0010250783401,0.00110268186089,0.0,-0.000356640701678,0.000250017699065,0.252053071848,0.00995573805086,-0.0127654916305,0.0,482.99826407443834,482.03480013227517,482.59245368076216,483.3431466296588
0.12000000000000001,-6.79750165602e-05,5.72032615703e-05,10.0262536969,0.00552508895976,0.00504434178529,0.0,-0.00214509305126,0.00197214682406,0.370960798835,0.0304296409272,-0.0377636966728,0.0,444.84016095179777,442.78869357382075,441.22678092276567,442.91350719524206
0.18,-0.000335086655909,0.000329828052268,10.0555621391,0.00915487380175,0.00844994012953,0.0,-0.0071432479796,0.00757703327257,0.605886504054,0.0144673918999,-0.0128484939289,0.0,477.0528315725266,478.95097889577454,478.5760932247261,477.35985370314603
0.23999999999999996,-0.000954272047885,0.000993763404359,10.0946970786,0.0154033765954,0.0135762540502,0.0,-0.0139874607202,0.0151597411284,0.698547102467,0.0387053722173,0.0125805986013,0.0,433.1350081138631,435.26807787083834,434.75376282705315,436.7796685977708
0.3,-0.00211464826868,0.00227936907504,10.1423405595,0.0188304111758,0.0144324913912,0.0,-0.0247859885106,0.0281021286706,0.8894312385,0.0259291123129,0.0150695110796,0.0,465.42050079591417,465.6151064509725,465.82764194107904,464.828082412282
0.36000000000000004,-0.00394076527509,0.00437646924567,10.19950803,0.0204760292528,0.0222081675655,0.0,-0.0368777447634,0.0419781994131,1.01602932755,0.0212326145377,0.0426099912382,0.0,444.5516570472245,446.802490045676,446.81362643860206,446.430706347556
0.4200000000000001,-0.00669000863787,0.007388296576,10.2658833623,0.024980319528,0.0281222578121,0.0,-0.0554119655526,0.0589487262633,1.19628182338,0.00030747631307,0.0615179136839,0.0,461.77032494089735,463.2607005435104,463.97223140097316,462.3265791285699
0.48000000000000015,-0.0106879889761,0.0115042839928,10.3417300213,0.0334519265328,0.0428672329615,0.0,-0.0794720753926,0.0791892820608,1.33170960636,-0.0327644413731,0.0238771587443,0.0,450.87729491207244,447.8278441446984,451.2775997340755,448.60044498943654
0.5400000000000001,-0.0163742238301,0.016959410087,10.4252272424,0.0315215797078,0.0443612667066,0.0,-0.110217980126,0.102444051766,1.45138387202,-0.0363526551312,0.0256450116719,0.0,444.6428181924006,444.78769392189673,445.8244103178198,445.5306935151629
0.6000000000000002,-0.0238443196106,0.0237076479532,10.5138234507,0.0309473216398,0.0458902096106,0.0,-0.138928136817,0.122428001596,1.50175098618,-0.0236147884066,0.02496387023,0.0,423.5337803296613,423.47534802520215,422.56567463710775,423.66175948232075
0.6600000000000003,-0.0332307481242,0.0317404734088,10.6084196643,0.0311256163953,0.0534413266124,0.0,-0.174800039969,0.145360521875,1.65120485127,-0.0387023993465,-0.00321456928539,0.0,455.69638669445595,453.4384648205486,455.870443801777,454.66313467608285
0.7200000000000003,-0.0449522623137,0.041172755294,10.7127503901,0.0303051984459,0.0547854292617,0.0,-0.21607263243,0.168963374879,1.82621096637,-0.0533803072338,-0.0180482291245,0.0,463.95296477226816,462.787047205685,463.570806492949,462.41509075838945
0.7800000000000004,-0.0592114389125,0.0520744578094,10.828112865,0.0419410055189,0.0562428192104,0.0,-0.259406947134,0.195813114695,2.01881719694,-0.096795353063,-0.0367490186986,0.0,470.3595154277386,468.9090352440564,470.17022448923774,466.7913703274923
0.8400000000000004,-0.0758677160467,0.0646143030523,10.9509102316,0.0366276523982,0.0564779089198,0.0,-0.295838485518,0.221662420599,2.07434251897,-0.0902007268177,-0.0551028014084,0.0,428.0225103664181,426.4566056579383,426.80619370763344,427.36063530329074
0.9000000000000005,-0.0951726461088,0.0789445933386,11.0851795659,0.0420787632664,0.0560095355204,0.0,-0.347589071118,0.256681184033,2.40063910511,-0.0552761532502,-0.0747957571934,0.0,508.7065146421732,507.292258517945,507.06268237532413,509.5611362490795
0.9600000000000005,-0.117414103951,0.0954374265392,11.2365807719,0.0499779462873,0.0517577910186,0.0,-0.393236177203,0.294079384316,2.64550490762,-0.093182566086,-0.070540821229,0.0,486.625002725962,486.9397202270401,487.8853215250385,485.04383458898565
1.0200000000000005,-0.142351456129,0.114368637161,11.4036700149,0.0474091528916,0.049611568479,0.0,-0.43772420998,0.336573172066,2.92348746104,-0.075301690748,-0.087609121656,0.0,497.01403249439244,495.75758189821755,497.2070328081178,498.50985911610417
1.0800000000000005,-0.169880038913,0.135765672657,11.5872207085,0.043175280386,0.0450738393741,0.0,-0.479300801062,0.376096031418,3.19419694156,-0.0824644287547,-0.0981744928621,0.0,497.02799676347803,496.247043560152,496.32117402354316,495.79108416317683
1.1400000000000006,-0.199542816784,0.159191437913,11.7813179557,0.0412123369252,0.0433848360582,0.0,-0.509263859155,0.404575531477,3.27549217337,-0.102628954012,-0.076889135639,0.0,441.1570987568195,442.90417551244815,441.3801427626927,439.7060280313382
1.2000000000000006,-0.231107117217,0.184418531008,11.9836377,0.0382793140209,0.039879950556,0.0,-0.54244330759,0.435986827163,3.46796120013,-0.123537706549,-0.0664940405489,0.0,475.4291555716276,476.2211556098516,476.2414675382308,474.62967785395824
1.2600000000000007,-0.264644855345,0.21152758706,12.1990549638,0.0370194597066,0.0370680290139,0.0,-0.575096808602,0.467497146609,3.71186640793,-0.151936561042,-0.0557458788867,0.0,491.1572935139451,491.9513487905224,492.6675207916287,490.54871356033874
